Hazard,Harm,Severity
Radiation- Wrong dose,Radiation- minor effects (temporary),3 Moderate
Radiation- Wrong dose,Ineffective treatment,3 Moderate
Radiation- Wrong dose,Delayed treatment,1 Negligible
Radiation- Wrong dose,Delayed treatment,2 Minor
Radiation- Wrong dose,Treatment of incorrect volume,3 Moderate
Radiation- Wrong dose,"Moderate burn, 2nd degree",3 Moderate
Radiation- Wrong dose,Ineffective treatment,2 Minor
Slipping,"Contusion, mild",2 Minor
Slipping,Broken bone,4 Critical
Slipping,"Contusion, moderate",3 Moderate
Thermal- General,Delayed treatment,2 Minor
Thermal- Hot liquids,"Minor burn, 1st degree",2 Minor
Unauthorized access/activity,Delayed treatment,2 Minor
Vibration,Delayed treatment,2 Minor
